iter	RMSE
144	5072.908313
145	5068.297187
146	5061.38547
147	5055.977036
148	5053.555708
149	5046.501063
150	5039.856755
151	5036.184279
152	5028.644368
153	5026.274429
154	5023.080212
155	5017.729018
156	5013.227939
157	5009.498576
158	5006.078464
159	5003.805778
160	4999.44458
161	4993.997439
162	4991.004166
163	4985.11937
164	4978.645313
165	4975.331239
166	4972.372489
167	4969.846743
168	4966.649334
169	4961.980817
170	4955.305652
171	4953.580661
172	4948.268734
173	4943.351495
174	4942.37562
175	4939.896642
176	4937.297613
177	4935.480846
178	4931.936561
179	4928.559247
180	4926.327749
181	4922.265321
182	4919.653795
183	4917.70199
184	4915.568947
185	4909.198145
186	4907.399963
187	4905.675543
188	4902.992489
189	4901.803363
190	4898.524789
191	4892.855492
192	4891.453185
193	4887.981598
194	4883.318497
195	4881.686326
196	4877.726295
197	4875.981882
198	4875.028016
199	4873.767423
200	4871.636988
201	4867.789695
202	4862.921892
203	4859.295874
204	4856.556894
205	4854.688497
206	4852.572443
207	4850.103469
208	4847.266313
209	4844.349672
210	4842.029816
211	4840.984447
212	4837.760312
213	4836.061402
214	4833.744579
215	4830.361125
216	4828.460889
217	4826.420722
218	4823.682567
219	4821.931118
220	4818.516819
221	4816.959525
222	4815.811173
223	4812.724947
224	4810.649013
225	4807.918673
226	4805.517506
227	4804.388555
228	4801.673716
229	4800.190867
230	4798.962512
231	4796.112414
232	4792.832921
233	4789.511908
234	4785.240976
235	4781.692514
236	4777.474391
237	4776.184796
238	4774.109974
239	4772.387173
240	4769.89724
241	4767.094178
242	4764.900874
243	4763.670012
244	4760.806738
245	4757.179804
246	4753.02321
247	4750.196656
248	4748.786216
249	4746.64505
250	4745.751941
251	4744.493224
252	4742.063882
253	4739.280332
254	4736.919855
255	4735.170565
256	4734.231702
257	4733.623915
258	4730.154046
259	4727.878896
260	4725.068573
261	4723.004678
262	4720.071908
263	4719.184874
264	4715.691439
265	4713.378879
266	4711.722467
267	4709.557835
268	4706.586356
269	4705.265602
270	4703.687648
271	4701.476597
272	4700.617374
273	4699.850224
274	4696.989237
275	4696.461186
276	4695.422407
277	4694.680327
278	4690.903197
279	4689.37394
280	4686.484256
281	4684.498618
282	4681.132553
283	4680.361574
284	4678.946149
285	4677.409973
286	4676.231248
287	4675.016016
288	4674.463072
289	4673.518323
290	4670.434861
291	4667.740651
292	4665.99368
293	4664.098887
294	4663.133923
295	4661.432532
296	4658.227847
297	4656.995535
298	4654.585463
299	4652.476401
300	4650.535009
301	4648.701222
302	4646.559273
303	4646.049062
304	4644.452452
305	4642.091659
306	4639.06882
307	4637.250583
308	4635.055159
309	4633.519904
310	4632.445814
311	4631.639579
312	4627.922655
313	4626.757694
314	4624.619626
315	4623.344868
316	4619.568754
317	4618.145107
318	4616.623926
319	4615.11876
320	4613.862866
321	4610.768398
322	4610.045483
323	4608.755914
324	4604.579888
325	4603.694306
326	4601.123377
327	4600.124832
328	4598.397198
329	4597.416589
330	4595.989256
331	4595.235949
332	4592.925039
333	4591.644055
334	4590.76973
335	4589.220688
336	4587.952053
337	4586.696518
338	4585.934574
339	4584.813826
340	4582.883374
341	4582.006374
342	4575.678162
343	4574.48877
344	4572.75492
345	4570.632832
346	4569.281189
347	4567.881804
348	4567.20161
349	4564.867934
350	4561.306014
351	4558.989448
352	4557.28232
353	4556.073452
354	4553.812181
355	4552.23335
356	4550.820861
357	4548.570168
358	4547.583797
359	4545.613808
360	4545.093134
361	4544.395543
362	4541.551521
363	4540.411426
364	4538.349895
365	4536.393106
366	4534.401435
367	4532.744767
368	4530.429438
369	4529.478942
370	4527.778578
371	4527.678307
372	4525.632076
373	4524.752376
374	4522.942877
375	4520.971835
376	4518.935982
377	4517.691856
378	4516.982554
379	4515.431914
380	4511.324942
381	4509.869508
382	4508.97561
383	4507.919935
384	4506.262779
385	4503.510996
386	4502.228968
387	4500.285324
388	4498.599339
389	4497.711726
390	4495.435326
391	4494.562455
392	4492.291542
393	4491.669805
394	4491.023615
395	4488.849167
396	4487.541911
397	4486.276889
398	4485.172833
399	4484.048964
400	4480.066749
401	4478.39606
402	4475.22254
403	4473.616222
404	4470.731178
405	4469.836518
406	4468.873175
407	4467.927882
408	4466.59652
409	4464.961611
410	4463.693388
411	4462.684967
412	4461.456176
413	4460.81412
414	4459.562491
415	4457.038017
416	4456.136835
417	4454.868494
418	4453.83176
419	4452.761078
420	4452.256982
421	4450.797596
422	4449.870114
423	4449.342448
424	4448.128572
425	4448.111738
426	4447.407269
427	4447.30206
428	4443.823839
429	4442.972317
430	4441.221597
431	4438.945441
432	4437.995026
433	4437.963861
434	4436.274792
435	4435.027629
436	4433.200491
437	4431.333681
438	4429.478669
439	4429.360064
440	4428.381277
441	4426.556226
442	4425.997789
443	4424.726308
444	4422.600333
445	4422.574174
446	4420.197825
447	4418.605296
448	4417.255502
449	4414.096858
450	4412.343956
451	4411.714258
452	4410.35559
453	4409.176925
454	4407.504701
455	4405.813619
456	4404.896368
457	4403.935863
458	4402.509405
459	4402.160335
460	4401.075933
461	4399.340765
462	4398.107381
463	4397.150888
464	4395.021902
465	4393.121676
466	4392.708608
467	4391.994852
468	4391.775067
469	4389.689382
470	4388.992989
471	4388.219479
472	4386.962285
473	4385.712979
474	4384.949488
475	4384.009332
476	4382.023186
477	4380.93988
478	4379.541367
479	4379.033437
480	4376.938119
481	4373.696777
482	4372.622157
483	4371.60119
484	4371.052396
485	4370.07543
486	4369.057814
487	4367.992285
488	4367.385849
489	4365.762442
490	4364.030616
491	4362.834855
492	4360.866023
493	4360.785853
494	4359.602496
495	4358.889714
496	4358.608849
497	4358.592063
498	4358.01849
499	4357.13049
500	4357.113325
501	4357.093078
502	4355.782379
503	4354.006507
504	4353.867903
505	4352.887748
506	4350.866215
507	4349.907139
508	4349.411243
509	4347.850129
510	4347.787504
511	4346.789065
512	4345.265549
513	4344.228917
514	4342.668471
515	4342.442852
516	4341.469686
517	4339.639574
518	4338.476982
519	4337.528548
520	4336.453502
521	4335.746819
522	4334.038242
523	4333.217523
524	4332.153166
525	4332.077194
526	4331.849035
527	4328.287756
528	4327.873688
529	4325.1592
530	4324.182453
531	4321.071781
532	4320.666176
533	4319.488702
534	4318.970965
535	4317.433394
536	4317.033703
537	4315.699305
538	4315.08361
539	4313.087578
540	4311.34893
541	4309.971707
542	4309.302453
543	4309.128537
544	4308.408598
545	4307.532664
546	4305.925593
547	4305.791666
548	4304.553064
549	4303.81583
550	4302.325074
551	4302.31919
552	4301.865058
553	4301.227528
554	4301.191761
555	4300.012575
556	4298.307062
557	4297.969027
558	4297.590063
559	4296.302413
560	4295.294833
561	4295.281068
562	4293.783975
563	4293.225453
564	4293.144077
565	4292.661701
566	4291.684796
567	4289.777695
568	4288.920712
569	4287.262755
570	4286.867623
571	4286.036878
572	4285.062057
573	4284.533566
574	4283.60107
575	4282.824383
576	4281.821116
577	4280.924209
578	4280.334855
579	4279.006722
580	4278.022028
581	4276.341276
582	4274.127703
583	4272.78526
584	4270.757366
585	4269.635476
586	4269.249534
587	4268.433718
588	4267.200551
589	4266.326168
590	4265.301595
591	4263.353038
592	4260.883068
593	4260.140686
594	4259.382494
595	4258.637931
596	4258.615832
597	4257.326854
598	4256.197072
599	4255.40789
600	4255.210449
601	4254.447805
602	4253.30461
603	4251.875688
604	4251.777071
605	4250.850651
606	4250.824513
607	4249.56725
608	4248.612475
609	4247.160194
610	4246.561646
611	4246.162572
612	4243.02676
613	4241.506639
614	4240.707627
615	4239.202903
616	4238.036108
617	4237.785202
618	4237.079647
619	4236.416267
620	4235.288967
621	4234.676241
622	4231.795631
623	4230.817853
624	4230.512718
625	4227.858365
626	4226.527235
627	4225.985288
628	4223.41733
629	4221.995045
630	4221.419541
631	4220.589749
632	4219.681934
633	4219.054684
634	4217.683947
635	4216.491197
636	4215.114975
637	4214.066472
638	4212.722962
639	4212.076602
640	4211.168496
641	4210.854388
642	4209.63267
643	4208.824617
644	4207.475067
645	4206.709851
646	4205.964067
647	4205.517759
648	4205.045812
649	4204.104172
650	4203.099923
651	4202.880615
652	4202.378212
653	4200.554929
654	4198.94041
655	4198.642384
656	4198.104245
657	4196.937898
658	4195.828925
659	4195.132157
660	4194.412809
661	4193.631173
662	4193.296042
663	4192.777682
664	4192.055747
665	4191.490729
666	4191.406791
667	4191.160815
668	4190.796885
669	4189.586673
670	4188.457737
671	4186.915454
672	4186.663404
673	4185.312942
674	4184.43709
675	4183.645453
676	4182.931539
677	4182.494889
678	4181.407571
679	4180.88888
680	4180.652447
681	4179.956627
682	4179.803264
683	4179.6118
684	4177.962343
685	4177.661656
686	4177.144638
687	4177.101662
688	4176.342669
689	4175.498476
690	4174.746049
691	4173.48273
692	4172.226556
693	4172.198205
694	4171.724243
695	4171.577467
696	4171.481461
697	4171.008645
698	4170.607697
699	4168.961659
700	4168.61423
701	4168.464355
702	4168.157376
703	4167.912734
704	4167.295451
705	4166.767973
706	4166.253067
707	4164.455918
708	4163.97177
709	4163.564806
710	4162.44251
711	4159.696013
712	4159.213802
713	4158.990327
714	4158.690018
715	4158.473111
716	4157.545504
717	4156.525015
718	4155.946437
719	4154.531795
720	4153.7014
721	4153.68731
722	4152.451776
723	4151.592558
724	4150.804205
725	4150.150069
726	4149.67502
727	4149.415798
728	4148.368178
729	4147.723602
730	4146.66901
731	4145.560176
732	4144.920678
733	4143.700715
734	4141.948581
735	4141.379349
736	4141.065347
737	4140.312536
738	4139.401213
739	4137.916202
740	4137.60716
741	4136.921613
742	4136.886348
743	4136.042718
744	4135.4595
745	4134.61765
746	4134.304557
747	4133.729009
748	4132.322155
749	4131.881033
750	4131.239444
751	4130.193566
752	4129.311257
753	4127.755378
754	4126.840045
755	4126.32274
756	4125.780078
757	4124.35574
758	4123.537529
759	4122.361622
760	4121.609217
761	4121.228927
762	4119.319323
763	4119.068857
764	4118.858975
765	4117.272841
766	4117.267865
767	4117.044595
768	4116.124742
769	4115.90096
770	4115.665348
771	4114.219345
772	4113.269935
773	4112.443105
774	4111.662709
775	4111.41385
776	4110.712385
777	4109.969195
778	4109.543651
779	4108.967858
780	4108.661836
781	4107.566939
782	4106.535445
783	4106.167229
784	4105.503369
785	4105.040272
786	4104.519272
787	4103.632228
788	4103.400646
789	4102.165377
790	4101.195163
791	4100.488241
792	4099.497114
793	4098.745286
794	4098.436234
795	4097.039508
796	4096.933781
797	4096.131025
798	4095.291184
799	4095.286525
800	4093.738532
801	4093.13364
802	4092.036437
803	4091.11451
804	4090.805767
805	4090.061955
806	4089.75494
807	4087.988349
808	4087.588966
809	4085.4121
810	4084.594888
811	4083.156207
812	4082.406981
813	4081.543577
814	4081.235442
815	4080.904203
816	4079.550138
817	4077.399283
818	4077.325163
819	4076.881897
820	4076.25857
821	4075.374262
822	4074.565846
823	4074.191976
824	4073.768034
825	4072.820283
826	4072.113953
827	4072.073917
828	4071.58537
829	4071.174368
830	4070.7149
831	4069.366738
832	4069.134143
833	4068.046146
834	4067.390979
835	4066.10609
836	4065.343801
837	4065.186243
838	4065.002137
839	4064.62913
840	4064.327304
841	4064.260224
842	4062.855586
843	4062.290105
844	4062.015467
845	4060.867905
846	4059.359553
847	4058.592291
848	4057.87136
849	4057.391169
850	4057.01631
851	4056.691546
852	4056.259428
853	4055.227538
854	4054.571382
855	4054.031756
856	4053.048087
857	4052.377524
858	4051.888052
859	4051.021833
860	4050.3078
861	4049.522885
862	4048.989772
863	4048.879082
864	4048.274379
865	4047.157404
866	4047.059314
867	4045.786555
868	4045.368575
869	4044.036654
870	4043.321656
871	4042.748892
872	4041.995809
873	4041.303326
874	4040.442031
875	4039.979651
876	4038.391553
877	4038.069453
878	4036.754696
879	4035.875571
880	4034.879171
881	4034.215517
882	4033.270487
883	4031.65715
884	4030.040208
885	4029.667343
886	4028.997854
887	4028.524141
888	4027.892825
889	4027.083769
890	4026.246962
891	4025.736743
892	4025.180131
893	4024.444123
894	4024.216803
895	4023.284781
896	4022.924517
897	4022.408
898	4021.971584
899	4021.674722
900	4021.05245
901	4020.250027
902	4018.008758
903	4017.552471
904	4017.366837
905	4015.81953
906	4015.219799
907	4015.094926
908	4013.393464
909	4011.389036
910	4010.715822
911	4010.269135
912	4009.968611
913	4009.177962
914	4008.54939
915	4008.169251
916	4008.149391
917	4007.799338
918	4006.946585
919	4005.535059
920	4005.208377
921	4003.172289
922	4002.351806
923	4001.823685
924	4001.22984
925	4000.50533
926	4000.100666
927	3999.944227
928	3999.683738
929	3998.377653
930	3998.107704
931	3997.409605
932	3997.102225
933	3996.641233
934	3995.97015
935	3995.842015
936	3994.07725
937	3993.828413
938	3992.563248
939	3991.772962
940	3991.625117
941	3991.194689
942	3988.992709
943	3988.524805
944	3988.503391
945	3988.370633
946	3988.041095
947	3987.394739
948	3987.015582
949	3986.350184
950	3985.215249
951	3985.002709
952	3983.742409
953	3983.573993
954	3982.802996
955	3982.335489
956	3982.086013
957	3981.971814
958	3981.077557
959	3980.135083
960	3978.699559
961	3978.327428
962	3978.23037
963	3977.131331
964	3976.62565
965	3975.793942
966	3974.857149
967	3974.012106
968	3973.355661
969	3973.022635
970	3972.825409
971	3972.420144
972	3972.083031
973	3971.742931
974	3971.428929
975	3970.941418
976	3970.02363
977	3969.839277
978	3969.391131
979	3968.888563
980	3967.410825
981	3967.076839
982	3966.941234
983	3965.844409
984	3965.329916
985	3965.006396
986	3963.853325
987	3962.636994
988	3961.89125
989	3961.706644
990	3960.754891
991	3958.780639
992	3957.25505
993	3956.436792
994	3955.85707
995	3955.607306
996	3955.379556
997	3954.7348
998	3953.420328
999	3952.423964
